id,pno,sku_id,item_sku_key,ad_channel,ad_report_mark,mark_type,mark_type_desc,mark_time,deleted,create_time,update_time,operator_name,operator_user_id
138,WWL022297762N,null,WWL022297762N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
139,WWK021934607N,null,WWK021934607N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
140,WWB023261591N,null,WWB023261591N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
141,WWB016776641N,null,WWB016776641N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
142,WSS022839615N,null,WSS022839615N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
143,WSS022544832N,null,WSS022544832N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
144,WSS021926891N,null,WSS021926891N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
145,WLS022452229N,null,WLS022452229N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
146,WLS022292173N,null,WLS022292173N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
147,WLS021965346N,null,WLS021965346N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
148,WLS021940032N,null,WLS021940032N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
149,WLS021771301N,null,WLS021771301N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
150,WDR022469251N,null,WDR022469251N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
151,WDR021630542N,null,WDR021630542N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
152,WDR021392164N,null,WDR021392164N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
153,WDR021273355N,null,WDR021273355N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
154,WDR020986850N,null,WDR020986850N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
155,WDR020936637N,null,WDR020936637N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
156,WDR016971396N,null,WDR016971396N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
157,WBL022313877N,null,WBL022313877N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
158,WBL021517292N,null,WBL021517292N,facebook,bad-with-trans:tail,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
159,USO023905980N,null,USO023905980N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
160,UPA022068250N,null,UPA022068250N,facebook,bad-with-trans:middle,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
161,UBR022907893N,null,UBR022907893N,facebook,bad-with-trans:top,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
162,UBR017412021N,null,UBR017412021N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
163,THP022324648N,null,THP022324648N,facebook,bad-no-trans,01,机器,2022-09-28 00:00:00,0,2022-09-29 13:08:37,2022-09-29 13:08:37,null,null
